generation_no,run_desc,population_size,Sum of fitness
89,Standard Algorithm,120,-5
90,Improved Algorithm,15,-195
90,Improved Algorithm,30,-10
90,Improved Algorithm,60,30
90,Improved Algorithm,120,75
90,Standard Algorithm,15,-315
90,Standard Algorithm,30,-85
90,Standard Algorithm,60,-30
90,Standard Algorithm,120,-5
91,Improved Algorithm,15,-195
91,Improved Algorithm,30,-5
91,Improved Algorithm,60,35
91,Improved Algorithm,120,80
91,Standard Algorithm,15,-315
91,Standard Algorithm,30,-85
91,Standard Algorithm,60,-30
91,Standard Algorithm,120,-5
92,Improved Algorithm,15,-195
92,Improved Algorithm,30,-5
92,Improved Algorithm,60,35
92,Improved Algorithm,120,80
92,Standard Algorithm,15,-315
92,Standard Algorithm,30,-85
92,Standard Algorithm,60,-30
92,Standard Algorithm,120,-5
93,Improved Algorithm,15,-195
93,Improved Algorithm,30,-5
93,Improved Algorithm,60,35
93,Improved Algorithm,120,80
93,Standard Algorithm,15,-315
93,Standard Algorithm,30,-85
93,Standard Algorithm,60,-30
93,Standard Algorithm,120,-5
94,Improved Algorithm,15,-195
94,Improved Algorithm,30,-5
94,Improved Algorithm,60,35
94,Improved Algorithm,120,80
94,Standard Algorithm,15,-315
94,Standard Algorithm,30,-85
94,Standard Algorithm,60,-20
94,Standard Algorithm,120,-5
95,Improved Algorithm,15,-195
95,Improved Algorithm,30,5
95,Improved Algorithm,60,35
95,Improved Algorithm,120,80
95,Standard Algorithm,15,-315
95,Standard Algorithm,30,-85
95,Standard Algorithm,60,-20
95,Standard Algorithm,120,-5
96,Improved Algorithm,15,-195
96,Improved Algorithm,30,5
96,Improved Algorithm,60,35
96,Improved Algorithm,120,80
96,Standard Algorithm,15,-315
96,Standard Algorithm,30,-85
96,Standard Algorithm,60,-20
96,Standard Algorithm,120,-5
97,Improved Algorithm,15,-195
97,Improved Algorithm,30,5
97,Improved Algorithm,60,35
97,Improved Algorithm,120,80
97,Standard Algorithm,15,-315
97,Standard Algorithm,30,-85
97,Standard Algorithm,60,-20
97,Standard Algorithm,120,0
98,Improved Algorithm,15,-195
98,Improved Algorithm,30,5
98,Improved Algorithm,60,35
98,Improved Algorithm,120,80
98,Standard Algorithm,15,-315
98,Standard Algorithm,30,-85
98,Standard Algorithm,60,-20
98,Standard Algorithm,120,0
99,Improved Algorithm,15,-195
99,Improved Algorithm,30,5
99,Improved Algorithm,60,35
99,Improved Algorithm,120,80
99,Standard Algorithm,15,-315
99,Standard Algorithm,30,-85
99,Standard Algorithm,60,-20
99,Standard Algorithm,120,0
100,Improved Algorithm,15,-195
100,Improved Algorithm,30,5
100,Improved Algorithm,60,35
100,Improved Algorithm,120,80
100,Standard Algorithm,15,-315
100,Standard Algorithm,30,-85
100,Standard Algorithm,60,-20
100,Standard Algorithm,120,0
101,Improved Algorithm,15,-195
101,Improved Algorithm,30,5
101,Improved Algorithm,60,35
101,Improved Algorithm,120,80
101,Standard Algorithm,15,-315
101,Standard Algorithm,30,-85
101,Standard Algorithm,60,-20
101,Standard Algorithm,120,0
102,Improved Algorithm,15,-195
102,Improved Algorithm,30,15
102,Improved Algorithm,60,35
102,Improved Algorithm,120,80
102,Standard Algorithm,15,-315
102,Standard Algorithm,30,-80
102,Standard Algorithm,60,-20
102,Standard Algorithm,120,0
103,Improved Algorithm,15,-195
103,Improved Algorithm,30,15
103,Improved Algorithm,60,35
103,Improved Algorithm,120,80
103,Standard Algorithm,15,-315
