generation_no,run_desc,population_size,Sum of fitness
81,Improved Algorithm,120,35
81,Standard Algorithm,15,-495
81,Standard Algorithm,30,-125
81,Standard Algorithm,60,-25
81,Standard Algorithm,120,-30
82,Improved Algorithm,15,-325
82,Improved Algorithm,30,-10
82,Improved Algorithm,60,-35
82,Improved Algorithm,120,45
82,Standard Algorithm,15,-495
82,Standard Algorithm,30,-125
82,Standard Algorithm,60,-5
82,Standard Algorithm,120,-30
83,Improved Algorithm,15,-325
83,Improved Algorithm,30,-10
83,Improved Algorithm,60,-25
83,Improved Algorithm,120,45
83,Standard Algorithm,15,-495
83,Standard Algorithm,30,-125
83,Standard Algorithm,60,-5
83,Standard Algorithm,120,-30
84,Improved Algorithm,15,-325
84,Improved Algorithm,30,-10
84,Improved Algorithm,60,-25
84,Improved Algorithm,120,45
84,Standard Algorithm,15,-495
84,Standard Algorithm,30,-125
84,Standard Algorithm,60,-5
84,Standard Algorithm,120,-20
85,Improved Algorithm,15,-325
85,Improved Algorithm,30,-10
85,Improved Algorithm,60,-20
85,Improved Algorithm,120,45
85,Standard Algorithm,15,-495
85,Standard Algorithm,30,-125
85,Standard Algorithm,60,5
85,Standard Algorithm,120,-5
86,Improved Algorithm,15,-325
86,Improved Algorithm,30,-10
86,Improved Algorithm,60,-20
86,Improved Algorithm,120,45
86,Standard Algorithm,15,-495
86,Standard Algorithm,30,-125
86,Standard Algorithm,60,10
86,Standard Algorithm,120,-5
87,Improved Algorithm,15,-325
87,Improved Algorithm,30,-10
87,Improved Algorithm,60,-15
87,Improved Algorithm,120,50
87,Standard Algorithm,15,-495
87,Standard Algorithm,30,-120
87,Standard Algorithm,60,10
87,Standard Algorithm,120,-5
88,Improved Algorithm,15,-325
88,Improved Algorithm,30,-10
88,Improved Algorithm,60,-15
88,Improved Algorithm,120,50
88,Standard Algorithm,15,-495
88,Standard Algorithm,30,-120
88,Standard Algorithm,60,10
88,Standard Algorithm,120,-5
89,Improved Algorithm,15,-325
89,Improved Algorithm,30,-10
89,Improved Algorithm,60,-15
89,Improved Algorithm,120,55
89,Standard Algorithm,15,-495
89,Standard Algorithm,30,-110
89,Standard Algorithm,60,15
89,Standard Algorithm,120,-5
90,Improved Algorithm,15,-325
90,Improved Algorithm,30,-10
90,Improved Algorithm,60,-15
90,Improved Algorithm,120,55
90,Standard Algorithm,15,-495
90,Standard Algorithm,30,-110
90,Standard Algorithm,60,25
90,Standard Algorithm,120,-5
91,Improved Algorithm,15,-325
91,Improved Algorithm,30,-10
91,Improved Algorithm,60,-15
91,Improved Algorithm,120,65
91,Standard Algorithm,15,-495
91,Standard Algorithm,30,-110
91,Standard Algorithm,60,25
91,Standard Algorithm,120,5
92,Improved Algorithm,15,-325
92,Improved Algorithm,30,-10
92,Improved Algorithm,60,-15
92,Improved Algorithm,120,65
92,Standard Algorithm,15,-495
92,Standard Algorithm,30,-110
92,Standard Algorithm,60,25
92,Standard Algorithm,120,5
93,Improved Algorithm,15,-325
93,Improved Algorithm,30,-10
93,Improved Algorithm,60,-15
93,Improved Algorithm,120,65
93,Standard Algorithm,15,-495
93,Standard Algorithm,30,-110
93,Standard Algorithm,60,25
93,Standard Algorithm,120,15
94,Improved Algorithm,15,-325
94,Improved Algorithm,30,0
94,Improved Algorithm,60,-10
94,Improved Algorithm,120,65
94,Standard Algorithm,15,-495
94,Standard Algorithm,30,-110
94,Standard Algorithm,60,25
94,Standard Algorithm,120,15
95,Improved Algorithm,15,-325
95,Improved Algorithm,30,0
95,Improved Algorithm,60,-5
95,Improved Algorithm,120,65
95,Standard Algorithm,15,-495
95,Standard Algorithm,30,-110
95,Standard Algorithm,60,30
95,Standard Algorithm,120,15
96,Improved Algorithm,15,-325
96,Improved Algorithm,30,0
96,Improved Algorithm,60,-5
96,Improved Algorithm,120,65
96,Standard Algorithm,15,-495
96,Standard Algorithm,30,-110
96,Standard Algorithm,60,35
96,Standard Algorithm,120,15
97,Improved Algorithm,15,-325
97,Improved Algorithm,30,0
97,Improved Algorithm,60,-5
97,Improved Algorithm,120,65
97,Standard Algorithm,15,-495
97,Standard Algorithm,30,-110
97,Standard Algorithm,60,35
97,Standard Algorithm,120,15
98,Improved Algorithm,15,-325
98,Improved Algorithm,30,0
98,Improved Algorithm,60,-5
98,Improved Algorithm,120,65
98,Standard Algorithm,15,-495
98,Standard Algorithm,30,-110
98,Standard Algorithm,60,35
98,Standard Algorithm,120,20
99,Improved Algorithm,15,-325
99,Improved Algorithm,30,0
99,Improved Algorithm,60,0
99,Improved Algorithm,120,65
99,Standard Algorithm,15,-495
99,Standard Algorithm,30,-110
99,Standard Algorithm,60,35
99,Standard Algorithm,120,20
100,Improved Algorithm,15,-325
100,Improved Algorithm,30,0
100,Improved Algorithm,60,0
100,Improved Algorithm,120,65
100,Standard Algorithm,15,-495
100,Standard Algorithm,30,-110
100,Standard Algorithm,60,35
100,Standard Algorithm,120,25
101,Improved Algorithm,15,-325
101,Improved Algorithm,30,10
101,Improved Algorithm,60,0
101,Improved Algorithm,120,65
101,Standard Algorithm,15,-495
101,Standard Algorithm,30,-110
101,Standard Algorithm,60,40
101,Standard Algorithm,120,30
102,Improved Algorithm,15,-325
102,Improved Algorithm,30,10
102,Improved Algorithm,60,0
102,Improved Algorithm,120,65
102,Standard Algorithm,15,-495
102,Standard Algorithm,30,-110
102,Standard Algorithm,60,40
102,Standard Algorithm,120,30
103,Improved Algorithm,15,-325
103,Improved Algorithm,30,10
103,Improved Algorithm,60,0
103,Improved Algorithm,120,65
103,Standard Algorithm,15,-495
103,Standard Algorithm,30,-110
103,Standard Algorithm,60,45
103,Standard Algorithm,120,30
104,Improved Algorithm,15,-325
104,Improved Algorithm,30,10
104,Improved Algorithm,60,0
104,Improved Algorithm,120,65
104,Standard Algorithm,15,-495
104,Standard Algorithm,30,-110
104,Standard Algorithm,60,45
104,Standard Algorithm,120,35
105,Improved Algorithm,15,-325
105,Improved Algorithm,30,10
105,Improved Algorithm,60,5
105,Improved Algorithm,120,70
105,Standard Algorithm,15,-495
105,Standard Algorithm,30,-105
105,Standard Algorithm,60,45
105,Standard Algorithm,120,35
106,Improved Algorithm,15,-325
106,Improved Algorithm,30,10
106,Improved Algorithm,60,5
106,Improved Algorithm,120,75
106,Standard Algorithm,15,-495
106,Standard Algorithm,30,-105
106,Standard Algorithm,60,45
106,Standard Algorithm,120,45
107,Improved Algorithm,15,-325
107,Improved Algorithm,30,10
107,Improved Algorithm,60,10
107,Improved Algorithm,120,75
