generation_no,run_desc,population_size,Sum of fitness
92,Standard Algorithm,60,-195
92,Standard Algorithm,120,-110
93,Improved Algorithm,15,-690
93,Improved Algorithm,30,-165
93,Improved Algorithm,60,-80
93,Improved Algorithm,120,-45
93,Standard Algorithm,15,-1020
93,Standard Algorithm,30,-380
93,Standard Algorithm,60,-195
93,Standard Algorithm,120,-110
94,Improved Algorithm,15,-690
94,Improved Algorithm,30,-160
94,Improved Algorithm,60,-80
94,Improved Algorithm,120,-40
94,Standard Algorithm,15,-1020
94,Standard Algorithm,30,-380
94,Standard Algorithm,60,-195
94,Standard Algorithm,120,-110
95,Improved Algorithm,15,-690
95,Improved Algorithm,30,-160
95,Improved Algorithm,60,-80
95,Improved Algorithm,120,-40
95,Standard Algorithm,15,-1020
95,Standard Algorithm,30,-380
95,Standard Algorithm,60,-170
95,Standard Algorithm,120,-110
96,Improved Algorithm,15,-690
96,Improved Algorithm,30,-160
96,Improved Algorithm,60,-80
96,Improved Algorithm,120,-40
96,Standard Algorithm,15,-1020
96,Standard Algorithm,30,-380
96,Standard Algorithm,60,-170
96,Standard Algorithm,120,-100
97,Improved Algorithm,15,-690
97,Improved Algorithm,30,-150
97,Improved Algorithm,60,-70
97,Improved Algorithm,120,-25
97,Standard Algorithm,15,-1020
97,Standard Algorithm,30,-380
97,Standard Algorithm,60,-165
97,Standard Algorithm,120,-100
98,Improved Algorithm,15,-690
98,Improved Algorithm,30,-150
98,Improved Algorithm,60,-70
98,Improved Algorithm,120,-15
98,Standard Algorithm,15,-1020
98,Standard Algorithm,30,-350
98,Standard Algorithm,60,-160
98,Standard Algorithm,120,-100
99,Improved Algorithm,15,-690
99,Improved Algorithm,30,-150
99,Improved Algorithm,60,-65
99,Improved Algorithm,120,-10
99,Standard Algorithm,15,-1020
99,Standard Algorithm,30,-350
99,Standard Algorithm,60,-160
99,Standard Algorithm,120,-100
100,Improved Algorithm,15,-690
100,Improved Algorithm,30,-150
100,Improved Algorithm,60,-65
100,Improved Algorithm,120,-10
100,Standard Algorithm,15,-1020
100,Standard Algorithm,30,-340
100,Standard Algorithm,60,-150
100,Standard Algorithm,120,-95
101,Improved Algorithm,15,-690
101,Improved Algorithm,30,-150
101,Improved Algorithm,60,-60
101,Improved Algorithm,120,-10
101,Standard Algorithm,15,-1020
101,Standard Algorithm,30,-335
101,Standard Algorithm,60,-150
101,Standard Algorithm,120,-85
102,Improved Algorithm,15,-690
102,Improved Algorithm,30,-150
102,Improved Algorithm,60,-50
102,Improved Algorithm,120,0
102,Standard Algorithm,15,-1020
102,Standard Algorithm,30,-335
102,Standard Algorithm,60,-150
102,Standard Algorithm,120,-85
103,Improved Algorithm,15,-690
103,Improved Algorithm,30,-150
103,Improved Algorithm,60,-50
103,Improved Algorithm,120,0
